text,label
"Your account has been compromised. Click here to reset your password.",1
"Meeting tomorrow at 3 PM. Agenda attached.",0
"Confirm your bank account details to avoid suspension.",1
"Hello! How are you? Just checking in.",0
"URGENT: Verify your account immediately to prevent closure. Click link below.",1
"Thanks for your order. Your shipment will arrive tomorrow.",0
"Congratulations! You have won a FREE PRIZE. Claim now!!!",1
"Please review the attached quarterly report at your earliest convenience.",0
"Act now! Limited time offer - Increase your income from home.",1
"Team meeting rescheduled to Friday at 2 PM in Conference Room B.",0
"WARNING: Unusual activity detected on your account. Verify identity NOW.",1
"Hope you had a great weekend! Looking forward to the project presentation.",0
"Click here to confirm your Apple ID to prevent account suspension.",1
"Just sent you the files you requested. Let me know if you need anything else.",0
"FINAL NOTICE: Your payment is overdue. Pay now to avoid legal action.",1
"Great job on the presentation yesterday! The team loved your insights.",0
"Your PayPal account requires immediate verification. Click here urgently.",1
"Coffee tomorrow morning? Same place as always?",0
"UPDATE: Your Amazon account has suspicious activity. Verify immediately.",1
"Please find attached the contract for your review and signature.",0
"You have been selected for a special EXCLUSIVE offer! Limited spots available.",1
"Reminder: Project deadline is Friday. Please submit your work by EOD.",0
"CRITICAL: Update your banking information immediately to restore access.",1
"Hi Sarah, Thanks for the help with the Johnson account. Really appreciated!",0
"Claim your FREE Amazon gift card now! No surveys required.",1
"The presentation slides are ready. I'll send them over this evening.",0
"ALERT: Unauthorized login attempt detected. Verify your account now.",1
"Coffee meeting notes are in the shared folder. Check them out when you can.",0
"You have won $1,000,000! Claim your prize today.",1
"Please let me know if you need any clarification on the proposal.",0
"Your credit card is about to expire. Update payment method immediately.",1
"Just following up on the meeting we had last week. Any updates?",0
"URGENT: Your account will be closed in 24 hours if you do not comply.",1
"The new office furniture has arrived. Let's schedule a time to rearrange.",0
"Congratulations! You are a LUCKY WINNER. Click to claim your reward.",1
"Attached is the report you requested for the stakeholder meeting.",0
"Verify your identity now or your account will be permanently suspended.",1
"Hope everything is going well on your end. Let's catch up soon!",0
"Your Social Security Number is required to update your account information.",1
"Just a quick note to say thank you for the collaboration on this project.",0
"CONFIRM: Is this your recent purchase? Click to authorize transaction.",1
"Meeting minutes from today are attached for your review.",0
"Your bank requires immediate action. Update your credentials now.",1
"Looking forward to seeing you at the conference next month.",0
"CLICK HERE NOW: Exclusive offer expires in 2 hours!",1
"Thanks for being such a great team member. Your contributions are valued.",0
"Urgent: Update your billing address to continue service.",1
"Can we schedule a call this week to discuss the next steps?",0
"You must verify your information within 48 hours or lose access.",1
"Project update attached. Please review and provide feedback.",0
"LIMITED TIME: Earn thousands working from home! No experience needed.",1
"Happy Birthday! Hope you have a wonderful day ahead.",0
"ALERT: Unusual activity on your account. Confirm it was you.",1
"The quarterly financial report is ready for distribution.",0
"Claim your FREE Netflix subscription now! Offer ends today.",1
"Let me know your availability for the planning meeting next week.",0
"Your account credentials are invalid. Re-enter them immediately.",1
"Great article! Thanks for sharing it with the team.",0
